status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
186848211735810_241234566297174,Ece paper vs everyone today ..... !!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/241234566297174/?type=3,https://www.facebook.com/ifyouareinnitk/posts/241234566297174:0,2016-12-06 08:00:55,39,3,1,25,0,0,8,6,0
186848211735810_238988339855130,Mom I'm comming...!!!:),Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/238988339855130/?type=3,https://www.facebook.com/ifyouareinnitk/posts/238988339855130:0,2016-12-02 06:26:03,18,0,1,15,0,0,3,0,0
186848211735810_237553139998650,NITK confessions ...!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/237553139998650/?type=3,https://www.facebook.com/ifyouareinnitk/posts/237553139998650:0,2016-11-29 11:00:22,46,0,1,23,0,0,23,0,0
186848211735810_236962550057709,A big cry for second block guys ...!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/236962550057709/?type=3,https://www.facebook.com/ifyouareinnitk/posts/236962550057709:0,2016-11-28 05:48:28,18,0,0,12,0,0,5,1,0
186848211735810_231460343941263,"The Mannequin challenge
A birthday gift for Kshitiz Khatri
Cast :
Anand Pathak   ... (The Apple eating guy)
Ayush Anbhore... ( Last man standing)
Bhushan Narkhede ... (Gym trainer)
Kshitiz Khatri ... ( Birthday boy)
Harsha Vardhan....(Next to B'day guy)
Kumar Saisrinivas... (Introspective Thinker)
Kunal Chavan... (The Reactionist)
Praveen Raj...(Guy with the bucket)
Priyam Kumar... (The Pushup man)
Rohit Karmarkar ... (Guy with the Iphone)
Saurabh Zond ... (Nerd)
Soham Raje Patil ...(Crushing while Brushing )
Tejas Kumar ... (Thinker)
Himanshu Kashyap ... (Dustbin at his back)
............................................. 
Direction/Editing : Ayush Anbhore",NITK First years Mannequin Challenge Official #awesomeness,video,https://youtu.be/ouJxEwKtZzM,https://www.facebook.com/ifyouareinnitk/posts/231460343941263,2016-11-17 03:39:00,30,0,2,30,0,0,0,0,0
186848211735810_227343437686287,When your savings have notes of 500 denominations...!!!😂😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/227343437686287/?type=3,https://www.facebook.com/ifyouareinnitk/posts/227343437686287:0,2016-11-08 12:54:09,9,0,0,6,0,0,3,0,0
186848211735810_218392878581343,What a college ... no power cuts at all  !!!😂😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/218392878581343/?type=3,https://www.facebook.com/ifyouareinnitk/posts/218392878581343:0,2016-10-24 11:02:51,12,0,3,8,0,0,4,0,0
186848211735810_216685965418701,English version for south people,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/216685965418701/?type=3,https://www.facebook.com/ifyouareinnitk/posts/216685965418701:0,2016-10-21 10:36:11,10,2,0,10,0,0,0,0,0
186848211735810_216683022085662,If you can understand that wise man then you can understand the joke😂😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/216683022085662/?type=3,https://www.facebook.com/ifyouareinnitk/posts/216683022085662:0,2016-10-21 10:27:00,11,0,0,11,0,0,0,0,0
186848211735810_212503012503663,"https://youtu.be/QkV2q95it2w
GTA NITK ........!!!! #IFYOUAREINNITK #GTA
Cast: Sparsh Prajapati Sandesh Bhalke Ayush Anbhore Manas Pai",GTA NITK Official Teaser Trailer,video,https://youtu.be/QkV2q95it2w,https://www.facebook.com/ifyouareinnitk/posts/212503012503663,2016-10-14 14:48:45,6,0,3,6,0,0,0,0,0
186848211735810_207009726386325,Studying maths secretly...!!!😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/207009726386325/?type=3,https://www.facebook.com/ifyouareinnitk/posts/207009726386325:0,2016-10-04 04:19:39,25,2,1,19,0,0,6,0,0
186848211735810_206782979742333,Chemistry.... and Sheldon cooper!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/206782979742333/?type=3,https://www.facebook.com/ifyouareinnitk/posts/206782979742333:0,2016-10-03 14:02:41,9,0,0,9,0,0,0,0,0
186848211735810_205051193248845,Buying jio sim...!!!!😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/205051193248845/?type=3,https://www.facebook.com/ifyouareinnitk/posts/205051193248845:0,2016-09-30 16:28:07,17,0,0,16,0,0,1,0,0
186848211735810_204723023281662,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/204723023281662/?type=3,https://www.facebook.com/ifyouareinnitk/posts/204723023281662:0,2016-09-30 04:25:33,16,0,0,10,0,0,6,0,0
186848211735810_203417303412234,"When you get too busy with your work and end up singing songs..... with Ayush Anbhore - Sparsh Prajapati - Manas Pai - Anand Pathak and Sandesh Bhalke...................!!!!!!!!!!!!!!!!!!! 
When awesomeness is your passion ..................................",Epic fun in hostel...Singing Azemoshan Shensha while working @nitk,video,https://youtu.be/uA0E31BeDxw,https://www.facebook.com/ifyouareinnitk/posts/203417303412234,2016-09-27 13:38:43,16,0,3,16,0,0,0,0,0
186848211735810_202604326826865,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/202604326826865/?type=3,https://www.facebook.com/ifyouareinnitk/posts/202604326826865:0,2016-09-25 23:26:24,7,0,0,6,0,0,1,0,0
186848211735810_201951480225483,When you play counter strike after a long time ...   https://www.youtube.com/watch?app=desktop&persist_app=1&v=BobtegDwjsY see our friend playing cs and see his reactions 😂😂😂@ifyouareinnitk,,status,,https://www.facebook.com/ifyouareinnitk/posts/201951480225483,2016-09-24 13:37:54,5,1,1,5,0,0,0,0,0
186848211735810_201478790272752,Why are you here..??😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/201478790272752/?type=3,https://www.facebook.com/ifyouareinnitk/posts/201478790272752:0,2016-09-23 15:37:47,13,0,0,10,1,0,2,0,0
186848211735810_199661223787842,When you want to leave it but can't....!!!!😂😂😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/199661223787842/?type=3,https://www.facebook.com/ifyouareinnitk/posts/199661223787842:0,2016-09-20 09:43:21,11,0,0,11,0,0,0,0,0
186848211735810_199585297128768,When maths paper comes...!!!😂😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/199585297128768/?type=3,https://www.facebook.com/ifyouareinnitk/posts/199585297128768:0,2016-09-20 07:16:34,15,0,1,14,0,0,1,0,0
186848211735810_199402363813728,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/199402363813728/?type=3,https://www.facebook.com/ifyouareinnitk/posts/199402363813728:0,2016-09-19 23:11:37,11,0,0,10,0,0,1,0,0
186848211735810_199174770503154,A salute to Indian superheros,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/199174770503154/?type=3,https://www.facebook.com/ifyouareinnitk/posts/199174770503154:0,2016-09-19 11:12:29,7,0,0,7,0,0,0,0,0
186848211735810_198114173942547,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/198114173942547/?type=3,https://www.facebook.com/ifyouareinnitk/posts/198114173942547:0,2016-09-17 13:01:16,17,0,1,12,0,0,5,0,0
186848211735810_198105223943442,Projects...!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/198105223943442/?type=3,https://www.facebook.com/ifyouareinnitk/posts/198105223943442:0,2016-09-17 12:42:21,14,0,0,13,0,0,1,0,0
186848211735810_198086907278607,Tehrvi ke ladoo...!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/198086907278607/?type=3,https://www.facebook.com/ifyouareinnitk/posts/198086907278607:0,2016-09-17 12:01:03,12,0,2,12,0,0,0,0,0
186848211735810_198082783945686,When you don't know where you are...!!!😂😂😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/198082783945686/?type=3,https://www.facebook.com/ifyouareinnitk/posts/198082783945686:0,2016-09-17 11:53:23,8,0,0,8,0,0,0,0,0
186848211735810_197314120689219,When staring is your passion...!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/197314120689219/?type=3,https://www.facebook.com/ifyouareinnitk/posts/197314120689219:0,2016-09-16 04:46:03,5,0,0,4,0,0,1,0,0
186848211735810_197221167365181,Preparation for IIT...!!!😂😂😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/197221167365181/?type=3,https://www.facebook.com/ifyouareinnitk/posts/197221167365181:0,2016-09-16 00:17:04,41,1,17,31,0,0,10,0,0
186848211735810_197185954035369,When your mother watches TV...!!!😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/197185954035369/?type=3,https://www.facebook.com/ifyouareinnitk/posts/197185954035369:0,2016-09-15 22:10:29,5,0,0,5,0,0,0,0,0
186848211735810_197178764036088,When it is your duty to screw the pic,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/197178764036088/?type=3,https://www.facebook.com/ifyouareinnitk/posts/197178764036088:0,2016-09-15 21:56:05,6,0,0,6,0,0,0,0,0
186848211735810_196891490731482,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/196891490731482/?type=3,https://www.facebook.com/ifyouareinnitk/posts/196891490731482:0,2016-09-15 08:59:56,17,0,0,16,0,0,1,0,0
186848211735810_194280924325872,IITians and NITians ......!!!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/194280924325872/?type=3,https://www.facebook.com/ifyouareinnitk/posts/194280924325872:0,2016-09-10 13:13:35,22,0,2,17,0,0,5,0,0
186848211735810_193997494354215,Wah!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/193997494354215/?type=3,https://www.facebook.com/ifyouareinnitk/posts/193997494354215:0,2016-09-10 01:31:36,33,0,0,22,0,0,11,0,0
